unified_root,unified_trans,stemhandle,note,source,stemform,abbreviation,grammar_note,brackets,positional,compounds,wordform,trans,trans_note,usage_note,verb_class,see,dv
-ch’ozh,ABCESS,ABCESS ,[],[YM-115],['-ch’ozh'],I neut.,,,,,,,,,,,
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,,,,,,,,
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ádaasdįįd ,s/he is gone,[''],[''],[''],, ádaasdįįg
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ádaasdįįg ,s/he is gone,[''],[''],[''],, ádaasdįįd
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ádadįh ,they are missing,[''],[''],[''],, édadįh
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ádagodįh ,they have none,[''],[''],[''], ei doo hát’į̄į̄ bíyēē da,
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ádįh ,s/he is dead/missing,[''],[''],[''], dá’ádįh,
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ánádasdįįd ,they keep disappearing/,[''],[''],[''],, ánádasdįįg
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ánádasdįįg ,they keep disappearing/have disappeared,[''],[''],[''],, ánádasdįįd
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ánádįh ,it is disappearing,[''],[''],[''],, ínádįh
-dįh//-dįį-,ABSENT/POSTP,ABSENT/POSTP ,[],[YM-140],['-dįįd/g'],P. mom.,,,,0,ásdįįd ,s/he/it disappeared,[''],[''],[''],, ásdįįg
